media	curso	renda
37.75	EDUCAÇÃO FÍSICA(LICENCIATURA)	Até 1,5 salário mínimo
41.06	EDUCAÇÃO FÍSICA(LICENCIATURA)	De 6 a 10 salários mínimos
34.03	EDUCAÇÃO FÍSICA(LICENCIATURA)	Não Informado
42.38	EDUCAÇÃO FÍSICA(LICENCIATURA)	Acima de 30 salários mínimos
40.68	CIÊNCIA DA COMPUTAÇÃO(BACHARELADO)	De 4,5 a 6 salários mínimos
36.89	CIÊNCIA DA COMPUTAÇÃO(BACHARELADO)	Até 1,5 salário mínimo
44.16	CIÊNCIA DA COMPUTAÇÃO(BACHARELADO)	De 10 a 30 salários mínimos
42.05	CIÊNCIA DA COMPUTAÇÃO(BACHARELADO)	De 6 a 10 salários mínimos
39.24	CIÊNCIA DA COMPUTAÇÃO(BACHARELADO)	De 1,5 a 3 salários mínimos
38.72	CIÊNCIA DA COMPUTAÇÃO(BACHARELADO)	De 3 a 4,5 salários mínimos
37.48	CIÊNCIA DA COMPUTAÇÃO(BACHARELADO)	Não Informado
44.2	CIÊNCIA DA COMPUTAÇÃO(BACHARELADO)	Acima de 30 salários mínimos
47.3	CIÊNCIA DA COMPUTAÇÃO(LICENCIATURA)	Não Informado
42.26	CIÊNCIA DA COMPUTAÇÃO(LICENCIATURA)	Até 1,5 salário mínimo
49.83	CIÊNCIA DA COMPUTAÇÃO(LICENCIATURA)	De 10 a 30 salários mínimos
44.81	CIÊNCIA DA COMPUTAÇÃO(LICENCIATURA)	De 1,5 a 3 salários mínimos
49.3	CIÊNCIA DA COMPUTAÇÃO(LICENCIATURA)	De 6 a 10 salários mínimos
46.39	CIÊNCIA DA COMPUTAÇÃO(LICENCIATURA)	De 4,5 a 6 salários mínimos
47.31	CIÊNCIA DA COMPUTAÇÃO(LICENCIATURA)	De 3 a 4,5 salários mínimos
57.1	CIÊNCIA DA COMPUTAÇÃO(LICENCIATURA)	Acima de 30 salários mínimos
43.08	SISTEMAS DE INFORMAÇÃO	De 10 a 30 salários mínimos
41.79	SISTEMAS DE INFORMAÇÃO	De 6 a 10 salários mínimos
35.78	SISTEMAS DE INFORMAÇÃO	Até 1,5 salário mínimo
40.52	SISTEMAS DE INFORMAÇÃO	De 4,5 a 6 salários mínimos
32.77	SISTEMAS DE INFORMAÇÃO	Não Informado
39.6	SISTEMAS DE INFORMAÇÃO	De 3 a 4,5 salários mínimos
37.42	SISTEMAS DE INFORMAÇÃO	De 1,5 a 3 salários mínimos
44.37	SISTEMAS DE INFORMAÇÃO	Acima de 30 salários mínimos
40.74	MÚSICA(LICENCIATURA)	De 1,5 a 3 salários mínimos
44.75	MÚSICA(LICENCIATURA)	De 4,5 a 6 salários mínimos
43.9	MÚSICA(LICENCIATURA)	De 6 a 10 salários mínimos
39.84	MÚSICA(LICENCIATURA)	Não Informado
38.58	MÚSICA(LICENCIATURA)	Até 1,5 salário mínimo
43.3	MÚSICA(LICENCIATURA)	De 3 a 4,5 salários mínimos
46.88	MÚSICA(LICENCIATURA)	De 10 a 30 salários mínimos
35.85	MÚSICA(LICENCIATURA)	Acima de 30 salários mínimos
40.31	CIÊNCIAS SOCIAIS(BACHARELADO)	De 3 a 4,5 salários mínimos
42.81	CIÊNCIAS SOCIAIS(BACHARELADO)	De 6 a 10 salários mínimos
42.55	CIÊNCIAS SOCIAIS(BACHARELADO)	De 4,5 a 6 salários mínimos
40.51	CIÊNCIAS SOCIAIS(BACHARELADO)	De 1,5 a 3 salários mínimos
45.69	CIÊNCIAS SOCIAIS(BACHARELADO)	De 10 a 30 salários mínimos
35.93	CIÊNCIAS SOCIAIS(BACHARELADO)	Não Informado
46.52	CIÊNCIAS SOCIAIS(BACHARELADO)	Acima de 30 salários mínimos
36.58	CIÊNCIAS SOCIAIS(BACHARELADO)	Até 1,5 salário mínimo
39.93	CIÊNCIAS SOCIAIS(LICENCIATURA)	De 6 a 10 salários mínimos
34.95	CIÊNCIAS SOCIAIS(LICENCIATURA)	De 1,5 a 3 salários mínimos
33.18	CIÊNCIAS SOCIAIS(LICENCIATURA)	Até 1,5 salário mínimo
37.15	CIÊNCIAS SOCIAIS(LICENCIATURA)	De 3 a 4,5 salários mínimos
39.09	CIÊNCIAS SOCIAIS(LICENCIATURA)	De 4,5 a 6 salários mínimos
43.45	CIÊNCIAS SOCIAIS(LICENCIATURA)	De 10 a 30 salários mínimos
35.89	CIÊNCIAS SOCIAIS(LICENCIATURA)	Não Informado
42.36	CIÊNCIAS SOCIAIS(LICENCIATURA)	Acima de 30 salários mínimos
38.97	ENGENHARIA CIVIL	De 1,5 a 3 salários mínimos
42.5	ENGENHARIA CIVIL	De 6 a 10 salários mínimos
39.83	ENGENHARIA CIVIL	De 3 a 4,5 salários mínimos
45.2	ENGENHARIA CIVIL	Acima de 30 salários mínimos
40.58	ENGENHARIA CIVIL	De 4,5 a 6 salários mínimos
44.84	ENGENHARIA CIVIL	De 10 a 30 salários mínimos
37.05	ENGENHARIA CIVIL	Não Informado
38.31	ENGENHARIA CIVIL	Até 1,5 salário mínimo
42.65	ENGENHARIA ELÉTRICA	De 10 a 30 salários mínimos
37.83	ENGENHARIA ELÉTRICA	De 3 a 4,5 salários mínimos
40.11	ENGENHARIA ELÉTRICA	De 6 a 10 salários mínimos
29.81	ENGENHARIA ELÉTRICA	Não Informado
38.09	ENGENHARIA ELÉTRICA	Até 1,5 salário mínimo
38.25	ENGENHARIA ELÉTRICA	De 1,5 a 3 salários mínimos
38.66	ENGENHARIA ELÉTRICA	De 4,5 a 6 salários mínimos
45.99	ENGENHARIA ELÉTRICA	Acima de 30 salários mínimos
50.11	ENGENHARIA DE COMPUTAÇÃO	Acima de 30 salários mínimos
46.2	ENGENHARIA DE COMPUTAÇÃO	De 10 a 30 salários mínimos
42.14	ENGENHARIA DE COMPUTAÇÃO	De 6 a 10 salários mínimos
28.58	ENGENHARIA DE COMPUTAÇÃO	Não Informado
39	ENGENHARIA DE COMPUTAÇÃO	De 3 a 4,5 salários mínimos
41.43	ENGENHARIA DE COMPUTAÇÃO	De 4,5 a 6 salários mínimos
40.42	ENGENHARIA DE COMPUTAÇÃO	De 1,5 a 3 salários mínimos
43.47	ENGENHARIA DE COMPUTAÇÃO	Até 1,5 salário mínimo
40.05	ENGENHARIA DE CONTROLE E AUTOMAÇÃO	De 6 a 10 salários mínimos
48.47	ENGENHARIA DE CONTROLE E AUTOMAÇÃO	Acima de 30 salários mínimos
44.72	ENGENHARIA DE CONTROLE E AUTOMAÇÃO	De 10 a 30 salários mínimos
37.39	ENGENHARIA DE CONTROLE E AUTOMAÇÃO	De 1,5 a 3 salários mínimos
37.38	ENGENHARIA DE CONTROLE E AUTOMAÇÃO	De 3 a 4,5 salários mínimos
34.06	ENGENHARIA DE CONTROLE E AUTOMAÇÃO	Até 1,5 salário mínimo
38.12	ENGENHARIA DE CONTROLE E AUTOMAÇÃO	De 4,5 a 6 salários mínimos
39.37	ENGENHARIA DE CONTROLE E AUTOMAÇÃO	Não Informado
43.34	ENGENHARIA MECÂNICA	De 6 a 10 salários mínimos
41.14	ENGENHARIA MECÂNICA	De 4,5 a 6 salários mínimos
45.77	ENGENHARIA MECÂNICA	De 10 a 30 salários mínimos
49.41	ENGENHARIA MECÂNICA	Acima de 30 salários mínimos
39.27	ENGENHARIA MECÂNICA	De 1,5 a 3 salários mínimos
28.12	ENGENHARIA MECÂNICA	Não Informado
39.42	ENGENHARIA MECÂNICA	De 3 a 4,5 salários mínimos
38.58	ENGENHARIA MECÂNICA	Até 1,5 salário mínimo
38.18	ENGENHARIA QUÍMICA	De 1,5 a 3 salários mínimos
39.77	ENGENHARIA QUÍMICA	De 3 a 4,5 salários mínimos
43.11	ENGENHARIA QUÍMICA	De 6 a 10 salários mínimos
36.61	ENGENHARIA QUÍMICA	Até 1,5 salário mínimo
44.91	ENGENHARIA QUÍMICA	De 10 a 30 salários mínimos
40.84	ENGENHARIA QUÍMICA	De 4,5 a 6 salários mínimos
29	ENGENHARIA QUÍMICA	Não Informado
46.48	ENGENHARIA QUÍMICA	Acima de 30 salários mínimos
44.97	ENGENHARIA DE ALIMENTOS	De 1,5 a 3 salários mínimos
48.48	ENGENHARIA DE ALIMENTOS	De 6 a 10 salários mínimos
NaN	ENGENHARIA DE ALIMENTOS	Não Informado
46.79	ENGENHARIA DE ALIMENTOS	De 4,5 a 6 salários mínimos
46.96	ENGENHARIA DE ALIMENTOS	De 3 a 4,5 salários mínimos
41.67	ENGENHARIA DE ALIMENTOS	Até 1,5 salário mínimo
54.31	ENGENHARIA DE ALIMENTOS	Acima de 30 salários mínimos
50.63	ENGENHARIA DE ALIMENTOS	De 10 a 30 salários mínimos
47.96	ENGENHARIA DE PRODUÇÃO	Acima de 30 salários mínimos
45.46	ENGENHARIA DE PRODUÇÃO	De 10 a 30 salários mínimos
38.02	ENGENHARIA DE PRODUÇÃO	De 1,5 a 3 salários mínimos
42.57	ENGENHARIA DE PRODUÇÃO	De 6 a 10 salários mínimos
39.63	ENGENHARIA DE PRODUÇÃO	De 3 a 4,5 salários mínimos
40.95	ENGENHARIA DE PRODUÇÃO	De 4,5 a 6 salários mínimos
39.04	ENGENHARIA DE PRODUÇÃO	Não Informado
37.45	ENGENHARIA DE PRODUÇÃO	Até 1,5 salário mínimo
44.39	ENGENHARIA	De 4,5 a 6 salários mínimos
47.41	ENGENHARIA	De 10 a 30 salários mínimos
44.89	ENGENHARIA	De 6 a 10 salários mínimos
49.99	ENGENHARIA	Acima de 30 salários mínimos
42.29	ENGENHARIA	De 1,5 a 3 salários mínimos
42.13	ENGENHARIA	De 3 a 4,5 salários mínimos
35.43	ENGENHARIA	Não Informado
40.6	ENGENHARIA	Até 1,5 salário mínimo
43.48	ENGENHARIA AMBIENTAL	De 4,5 a 6 salários mínimos
40.94	ENGENHARIA AMBIENTAL	De 1,5 a 3 salários mínimos
46.12	ENGENHARIA AMBIENTAL	De 10 a 30 salários mínimos
43.94	ENGENHARIA AMBIENTAL	De 6 a 10 salários mínimos
41.74	ENGENHARIA AMBIENTAL	De 3 a 4,5 salários mínimos
38.6	ENGENHARIA AMBIENTAL	Não Informado
40.26	ENGENHARIA AMBIENTAL	Até 1,5 salário mínimo
48.64	ENGENHARIA AMBIENTAL	Acima de 30 salários mínimos
46.44	ENGENHARIA FLORESTAL	De 3 a 4,5 salários mínimos
43.83	ENGENHARIA FLORESTAL	Não Informado
47.01	ENGENHARIA FLORESTAL	De 10 a 30 salários mínimos
44.35	ENGENHARIA FLORESTAL	De 1,5 a 3 salários mínimos
47.31	ENGENHARIA FLORESTAL	De 6 a 10 salários mínimos
42.19	ENGENHARIA FLORESTAL	Até 1,5 salário mínimo
